source.name,titulo,descripcion,fecha_publicacion
Xataka.com,El debate sobre si es mejor caminar rápido o caminar lento esta zanjado. Al menos si lo que buscamos es nuestra salud,"Caminar es un ejercicio que no solo tiene la ventaja de ayudarnos a mantener una buena salud, también resulta asequible para personas con dificultades para ejercitarse de otras formas por circunstancias como la edad o el ritmo de vida. Sin embargo un viejo de…",2025-07-13 16:30:52+00:00
Hipertextual,6 consejos para viajar en avión y evitar volver a casa enfermo,"Enfermar al viajar en avión no es nada raro. Al fin y al cabo, pasamos horas de vuelo encerrados en un espacio reducido con otras muchas personas, cada una con sus virus y sus bacterias. Pero ese no es el único motivo. También podemos enfermar, o al menos sen…",2025-07-08 10:49:48+00:00
Wwwhatsnew.com,Ejercicio y salud mental: lo que la ciencia realmente dice sobre sus beneficios,"Durante mucho tiempo se ha repetido la receta casi mágica: si te sientes deprimido o estresado, sal a correr o inscríbete en el gimnasio. Sin embargo, una nueva investigación publicada en Medicine & Science in Sports & Exercise cuestiona esta narrativa simpli…",2025-07-10 02:00:13+00:00
El Mundo,Primeros resultados de bebés nacidos con una tecnología pionera que reduce el riesgo de enfermedades mitocondriales,"Dos estudios publicados en la revista 'New England Journal of Medicine' describen los primeros tratamientos realizados hasta la fecha, de los que han nacido ocho bebés por donación mitocondrial, o la técnica de los tres padres Leer",2025-07-16 21:00:00+00:00
Xataka.com,Los ictus se han convertido un enorme problema de salud silencioso en España. Y hay formas de limitar los riesgos,"Cada año se producen 90.000 casos de ictus en España que dejan en promedio 23.000 fallecidos, según los datos de la Sociedad Española de Neurología. Este número podría reducirse notablemente, al fin y al cabo, muchos de los factores de riesgo que se asocian a…",2025-07-06 15:30:12+00:00
Xataka.com,La sabiduría popular no siempre acierta: los grandes mitos del calor que debemos evitar en verano,"La ola de calor atraviesa su pico durante las jornadas de ayer y hoy, así que mantenerse frescos e hidratados se hace fundamental. Esto no siempre es fácil: a veces la intuición nos engaña, a veces quienes nos llevan al error son los mitos que escuchamos una …",2025-06-30 12:30:12+00:00
Xataka.com,"Un bebé, tres padres: la fecundación 'in vitro' ha dado un sorprendente paso utilizando ADN mitocondrial","Un niño, tres padres. Podría parecer ciencia ficción, pero es ya una realidad. Es una realidad que comenzó hace ya una década, con la aprobación en el Reino Unido de una novedosa técnica que permitía introducir información genética de una tercera persona en u…",2025-07-17 17:31:33+00:00
Muyinteresante.com,La ciencia ya puede medir tu dieta con un simple análisis de sangre y orina: así detectan los efectos de los ultraprocesados,"Tu cuerpo guarda un registro químico de lo que comes. Un nuevo marcador biológico en sangre y orina revela si consumes demasiados ultraprocesados, sin necesidad de reportes dietéticos ni cuestionarios.",2025-07-20 15:08:00+00:00
Wwwhatsnew.com,Cómo el “efecto linterna” de tu móvil está saboteando tu sueño profundo,"¿Te ha pasado? Son las tres de la mañana, bebes un poco de agua y —tic— el pulgar roza el móvil. La pantalla se enciende como un foco de estadio y, de pronto, tus ojos y tu cerebro sienten que vuelve a ser de día. Yo confieso que he caído mil veces en esa ten…",2025-07-22 12:00:12+00:00
Muyinteresante.com,¿Por qué dos personas de la misma edad envejecen de forma tan distinta? Científicos de Stanford tienen la respuesta,"Un nuevo análisis desarrollado por la Universidad de Stanford revela que la edad biológica de nuestros órganos puede predecir enfermedades, longevidad y riesgo de muerte.",2025-07-18 15:06:00+00:00
Directoalpaladar.com,"No hay una ""cantidad segura"" de carne procesada que podamos comer sin aumentar el riesgo de cáncer, diabetes o cardiopatías","“El consumo habitual incluso de pequeñas cantidades de carne procesada está relacionado con un mayor riesgo de desarrollar diabetes de tipo 2, cardiopatía isquémica y cáncer colorrectal”. Así de contundente es el investigador Demewoz Haile al comentar las con…",2025-07-09 15:01:52+00:00
El Mundo,"Descubren 'firmas' que dejan en la sangre enfermedades como el alzhéimer, el párkinson o la demencia frontotemporal","Estos marcadores podrían ayudar a una detección precoz de los trastornos y a la identificación de posibles terapias, según un consorcio internacional en el que ha participado el español Carlos Cruchaga Leer",2025-07-15 15:02:45+00:00
Muyinteresante.com,"¿Lesión o progreso? Esto es lo que realmente significan las agujetas, según la ciencia","Entrenar fuerte puede sentirse glorioso… hasta que no puedes moverte al día siguiente. Pero ese dolor muscular tiene explicación, y no es la que siempre te contaron.",2025-06-24 15:39:00+00:00
Muyinteresante.com,Un proyecto de restauración bibliográfico y pictórico de UNIR descubre una joya oculta del patrimonio pictórico riojano y de la humanidad,Una restauración en el Monasterio de San Millán de la Cogolla ha revelado una joya del arte barroco. Lo que parecía una obra anónima del siglo XVII resultó ser una pintura original cubierta por repintes del siglo XX. Junto con la recuperación de libros histór…,2025-07-11 07:00:00+00:00
Vitonica.com,"Ni Iburprofeno, ni Paracetamol: el verdadero remedio no farmacológico para el dolor de espalda","El dolor crónico de espalda es un problema muy frecuente que afecta considerablemente a la calidad de vida de millones de personas en todo el mundo. Aunque existen diversos tratamientos, el ejercicio físico destaca como una alternativa efectiva y segura para …",2025-07-16 12:02:00+00:00
Gizmodo.com,Así es como una fruta cotidiana puede blindar tus pulmones sin que lo supieras,Una de las claves para mantener tus pulmones en forma podría estar mucho más cerca de lo que imaginas. Descubre por qué ciertas frutas comunes tienen un papel crucial en la protección respiratoria y cómo puedes aprovecharlas para reforzar tus defensas sin esf…,2025-06-25 15:23:53+00:00
Gizmodo.com,No caigas en la trampa del calor: errores comunes que parecen lógicos pero no lo son,"Aunque muchos creen saber cómo combatir el calor, lo cierto es que algunos de los remedios más populares son completamente erróneos. Desde la temperatura del agua hasta cómo ventilar la casa, hay decisiones cotidianas que podrían estar saboteando nuestro bien…",2025-06-30 12:44:27+00:00
Gizmodo.com,¿Cuándo empieza realmente la vejez? Un descubrimiento científico pone fecha exacta al envejecimiento,"Un hallazgo reciente revela que el envejecimiento no comienza cuando crees. Investigadores lograron establecer, por primera vez, una cronología biológica precisa del proceso. Los resultados cuestionan todo lo que creías saber sobre la edad avanzada y podrían …",2025-06-30 11:14:16+00:00
Gizmodo.com,El dato corporal que puede estar ocultando un riesgo que el IMC no ve,"Un nuevo estudio revela que una medida corporal aparentemente simple podría ser clave para anticipar riesgos graves para la salud. Mientras el IMC pierde precisión, otra variable cobra protagonismo y podría cambiar la forma en que se evalúa el bienestar físic…",2025-06-28 16:53:55+00:00
Gizmodo.com,Un eco en el cráneo: Pistas neandertales tras una malformación cerebral moderna,"Un nuevo estudio sugiere que ciertos rasgos del cráneo en personas con Chiari tipo I podrían ser vestigios genéticos heredados de los neandertales. Aunque no se confirma del todo, la hipótesis apunta a una conexión milenaria entre evolución humana y enfermeda…",2025-07-12 10:31:55+00:00
Gizmodo.com,"Caminar sí, pero no de cualquier forma: lo que la ciencia acaba de confirmar sobre tu ritmo al andar","¿Caminar lento o rápido? La respuesta parece sencilla, pero durante años ha dividido a expertos. Ahora, nuevos estudios aportan pruebas contundentes que podrían cambiar la forma en que damos cada paso. Si pensabas que salir a pasear sin más era suficiente, qu…",2025-07-14 13:43:52+00:00
Gizmodo.com,Nadie lo esperaba: lo que estos alimentos tan comunes pueden estar haciendo en tu cuerpo,Un reciente análisis científico ha revelado que incluso pequeñas dosis de ciertos productos ampliamente consumidos pueden incrementar el riesgo de enfermedades graves. ¿Qué alimentos están en el centro del debate? La respuesta te hará replantearte lo que come…,2025-07-11 15:47:09+00:00
El Mundo,"Un análisis de saliva podría revelar el riesgo de padecer cáncer, enfermedades coronarias o párkinson",Un equipo de investigación liderado por la Universidad del País Vasco ha identificado cientos de marcadores moleculares en la saliva que podrían revelar el riesgo de una persona...,2025-06-29 06:50:53+00:00
Andro4all.com,Tu cerebro podría predecir cuánto vivirás: un estudio revela que su edad biológica es clave para la longevidad,"Tu cerebro podría ser la clave para saber cuánto vas a vivir. Un estudio de la Universidad de Stanford acaba de demostrar que la edad biológica del cerebro predice la longevidad mejor que cualquier otro marcador que conozcamos. La investigación, publicada en …",2025-07-13 07:01:16+00:00
Wwwhatsnew.com,Tecnología y ansiedad: herramientas digitales para recuperar la calma,"La ansiedad es una respuesta natural del cuerpo ante situaciones de peligro o incertidumbre. Sin embargo, cuando se convierte en una compañera constante, puede afectar la calidad de vida de forma significativa. Hoy en día, la tecnología no solo forma parte de…",2025-07-08 10:00:45+00:00
Trendencias.com,"Jonathan Glashow, cirujano ortopédico: ""Veo lesiones prevenibles todos los días y estos son mis puntos no negociables para estar libre de ellas""","Cuando hablamos de deporte de alto impacto, parecería que las lesiones son inevitables. Sin embargo, muchos de los problemas musculoesqueléticos que sufren tanto atletas como personas activas podrían evitarse con hábitos de prevención sencillos pero efectivos…",2025-07-11 09:30:51+00:00
Gizmodo.com,Lo que el cuerpo empieza a decirnos a los 34 y lo que revela cuando cruzamos los 78,"Una investigación científica cambió para siempre cómo entendemos el envejecimiento. Al analizar miles de muestras de sangre, expertos revelaron cuándo empieza realmente la vejez… y no es cuando crees. Las proteínas en tu cuerpo tienen mucho que contar sobre l…",2025-06-30 14:16:41+00:00
Gizmodo.com,Lo que nadie te cuenta sobre las dietas de moda que prometen milagros,"¿De verdad sirven las dietas exprés que solo permiten comer piña, arroz o atún? Aunque suenan tentadoras por sus promesas inmediatas, lo que esconden podría pasar factura a tu salud. Descubre por qué deberías pensártelo dos veces antes de caer en esta trampa …",2025-07-18 16:35:34+00:00
Gizmodo.com,El remedio más eficaz contra el dolor menstrual no está en una pastilla: lo que la ciencia revela sobre moverse suavemente,"Una práctica cotidiana, suave y sin efectos secundarios podría convertirse en tu mejor aliada contra los cólicos menstruales. Un estudio reciente confirma que el ejercicio de baja intensidad no solo alivia el dolor, sino que supera a los medicamentos en efica…",2025-07-22 14:16:09+00:00
Gizmodo.com,Se le congeló la boca y la garganta por usar inhalantes,"El joven de 23 años usó aerosoles de óxido nitroso, que pueden llegar a enfriarse a -4°C",2025-07-05 00:39:26+00:00
Gizmodo.com,Lo que hay detrás del alarmante aumento de la demencia: una verdad inesperada que podrías no haber considerado,"Un nuevo estudio ha revelado que el riesgo de desarrollar demencia es mucho mayor de lo que pensábamos. Pero, lejos de ser una condena inevitable, también hay claves sencillas —y sorprendentes— que podrían cambiar el rumbo. ¿La causa principal del aumento? Es…",2025-07-07 12:51:36+00:00
Gizmodo.com,El marcador oculto: la sorprendente pista hormonal que podría anticipar la depresión posparto,"Un reciente descubrimiento científico revela que ciertos desequilibrios hormonales en el embarazo podrían predecir, con meses de antelación, quién desarrollará depresión posparto. ¿Y si una simple analítica bastara para prevenir una de las afecciones más invi…",2025-07-04 13:29:31+00:00
Gizmodo.com,¿Y si tu sobrepeso ocultara algo más? El nuevo método que está cambiando todo,"Un reciente estudio internacional revela que miles de personas podrían estar conviviendo con obesidad sin saberlo. Gracias a una nueva forma de diagnóstico, se ha descubierto que los criterios tradicionales podrían estar dejando fuera a quienes más riesgo cor…",2025-07-10 15:48:47+00:00
Gizmodo.com,Un analgésico conocido podría aumenta el riesgo de sufrir deterioro cognitivo,"La gabapentina se utiliza comúnmente para tratar dolores neuropáticos y síndrome de piernas inquietas, pero podría poner en riesgo nuestra salud mental más de lo que se pensaba.",2025-07-14 22:31:01+00:00
Muyinteresante.com,¿Podemos anticipar la depresión posparto antes del nacimiento? Un hallazgo hormonal ofrece nuevas esperanzas,¿Y si una simple prueba de sangre durante el embarazo pudiera anticipar quién desarrollará depresión posparto? Un nuevo estudio revela que ciertos desequilibrios hormonales —invisibles a simple vista— podrían servir como señales de advertencia mucho antes de …,2025-06-25 15:01:00+00:00
El Mundo,Esta bacteria provocará 11 millones de casos de cáncer gástrico en los próximos años,"15,6 millones de personas nacidas entre 2008 y 2017 en todo el mundo desarrollarán cáncer gástrico en algún momento de sus vidas y el 76% de esos tumores -unos 11 millones- estarán relacionados con un patógeno en particular Leer",2025-07-07 15:00:00+00:00
El Mundo,Así se recupera peso tras abandonar los fármacos de la 'familia Ozempic',"Una revisión científica de 11 ensayos clínicos concluye que sí que hay una recuperación de los kilos perdidos con ayuda de los fármacos, que la mitad abandona al año Leer",2025-07-22 08:46:51+00:00
Marketingdirecto.com,Dejemos de trivializar el tiempo: Salud por Derecho denuncia el silencio político sobre el cambio climático,"La ONG que lucha por el bienestar del planeta presenta una apremiante campaña creada por McCann y producida
por Landia
La entrada Dejemos de trivializar el tiempo: Salud por Derecho denuncia el silencio político sobre el cambio climático se publicó primero en…",2025-07-15 09:47:12+00:00
El Mundo,Uno de cada cinco adultos con sobrepeso podría tener obesidad sin saberlo,"La obesidad podría afectar a muchas más personas de las que se pensaba. «El 18,8% de los adultos previamente clasificados con sobrepeso ahora son considerados personas con...",2025-07-08 21:00:00+00:00
Nationalgeographic.com.es,Esta bacteria podría causar casi 12 millones de casos de cáncer,"En el estómago humano se esconde una amenaza microscópica que, aunque invisible a simple vista, es capaz de desencadenar una de las formas más letales de cáncer: el gástrico.Se trata de la Helicobacter pylori (H. pylori), una bacteria que habita en el revesti…",2025-07-09 14:16:00+00:00
Vitonica.com,Nuestro cuerpo también se confunde: así es como no ingerir suficiente líquido puede empujarte a comer más,"Mantenerse bien hidratado, sobre todo en esta época del año, resulta fundamental, pues no sólo es clave para prevenir la fatiga y el mal funcionamiento metabólico sino también para evitar un aumento de peso. Nuestro cuerpo también se confunde y no beber sufic…",2025-07-07 10:00:15+00:00
Trendencias.com,El país que más lento envejece según la ciencia es también uno de los más felices del mundo. Cómo lo consiguen,"El envejecimiento es uno de los grandes pilares del consumismo del siglo XXI. Queremos parar el tiempo con toda clase de cremas, trucos y dietas, pero hay países en los que eso de envejecer se les da mejor. Dinamarca es uno de ellos. Después de que un nuevo e…",2025-07-17 11:31:33+00:00
Eldiario.es,El cambio climático triplicó las muertes por temperaturas extremas en ciudades europeas durante la última ola de calor,"Científicos del Imperial College y la London School of Hygiene & Tropical Medicine concluyen que el calentamiento global impulsó el pico de calor al que atribuyen 1.500 muertes adicionales en 12 urbes europeas
“Dijo que iba al servicio y lo encontraron muert…",2025-07-09 04:01:08+00:00
Eldiario.es,El legado de los neandertales podría explicar una malformación neurológica actual,"Un nuevo estudio detecta similitudes en la forma del cráneo entre personas con esta afección y fósiles neandertales, lo que apunta a una posible herencia genética milenaria
Un cerebro humano se conservó 4.000 años tras cocerse en su propio cráneo por el calo…",2025-07-11 07:26:27+00:00
Gizmodo.com,Las claves para frenar el reloj biológico,"El ejercicio y la alimentación son claves para un envejecimiento saludable, y los avances en medicina antienvejecimiento podrían estar más cerca de lo que creemos.",2025-06-29 13:16:08+00:00
Gizmodo.com,"Nacen en Reino Unido 8 saludables “bebés de 3 padres”, con una pionera técnica de FIV","Los niños, nacidos gracias a la fertilización in vitro que reemplaza el ADN mitocondrial dañado de la madre por el de una donante, no exhiben señales de enfermedad.",2025-07-18 01:02:32+00:00
Gizmodo.com,"Rival de Ozempic, una vez al mes, con grandes resultados",Los que usaron MariTide de Amgen perdieron hasta un 20% de su peso corporal en un ensayo de Fase II.,2025-06-29 02:17:22+00:00
Gizmodo.com,¿Quieres dormir mejor? Prueba estos 4 ejercicios,"Las nuevas investigaciones señalan que el yoga, las caminatas y otros ejercicios podrían ayudarnos a dormir más y evitar la fatiga diurna.",2025-07-16 20:24:39+00:00
Huffingtonpost.es,Los investigadores ponen en alerta a todos los que se comen un perrito caliente en contadas ocasiones,"<![CDATA[<p>Un equipo de investigadores de la Universidad de Washington (EEUU) acaba de realizar un estudio centrado en aquellas personas que comen carne procesada, como los perritos calientes, en contadas ocasiones.wf_cms.rss.read_more]]>",2025-07-18 19:54:22+00:00
RT,¿Cuánta carne procesada se puede consumir sin que afecte a la salud?,"Los investigadores revisaron más de 70 estudios previos, analizando la relación entre los alimentos ultraprocesados ​​y la diabetes tipo 2, la cardiopatía isquémica y el cáncer colorrectal.",2025-07-05 08:29:01+00:00
